,Artist,Title,Top100,URI
272,simon & garfunkel,the sounds of silence,0,2YplrdHMBoRdnHgMeHEwHm
273,booker t. & the m.g.'s,green onions,0,4fQMGlCawbTkH9yPPZ49kP
274,neil diamond,sweet caroline - single version,0,7waQASGjvaRBw6jyX3gVZ0
275,the young rascals,good lovin' - single version,0,0XnhQGfqfi5CnZXcONJuI5
276,chubby checker,the twist,0,3ohLnESFgYACPMCkoTOzqE
277,cream,sunshine of your love,0,6FRwDxXsvSasw0y2eDArsz
278,ray charles,hit the road jack,0,3aNpvb3OkNa519ijHy4krD
279,creedence clearwater revival,proud mary,0,2EZc13S7YRi6bTS3SKteRN
280,led zeppelin,dazed and confused,0,6hu1f1cXSw7OAqhpSQ2zDy
281,blue cheer,summertime blues,0,6iWaf45YIhj0YT8GFGxsw0
282,the beatles,i want to hold your hand - remastered 2015,0,4pbG9SUmWIvsROVLF0zF9s
283,dion,runaround sue,0,1DndHckdH9m5rp6gYP086b
284,the kinks,all day and all of the night - 2014 remastered version,0,4rXSVEYOuJNicjAm3NiYK6
285,ike & tina turner,river deep - mountain high,0,19jo0UT2vqD4pNVfIqTy4R
286,the lovin' spoonful,summer in the city - remastered,0,7AzFID6u1b3zIWbd9pb8Dk
287,the rolling stones,jumpin' jack flash - mono / remastered,0,55LRDFmsuazr533WrtHHW9
288,jimi hendrix,foxey lady,0,23MrkN7g6Q5U7GLIxNHN1B
289,jefferson airplane,somebody to love,0,4uGIJG1jYFonGc4LGp5uQL
290,the chambers brothers,time has come today,0,5qA1ZrjjVLh1cL9GZOFdNm
291,the yardbirds,heart full of soul,0,0AiuEo7FCxP2y2WTOpLPe5
292,the lovin' spoonful,do you believe in magic?,0,1udKn1oNKYQSQ9OmiIWCMu
293,the rolling stones,"paint it, black - mono",0,1RJeiAIwR9pZBgJA8ndZLL
294,the beach boys,good vibrations - remastered,0,5t9KYe0Fhd5cW6UYT4qP8f
295,count five,psychotic reaction,0,5JcaA4A9ZoXthwEnxOxWvP
296,the beatles,yesterday - remastered 2009,0,3BQHpFgAp4l80e1XslIjNI
297,the moody blues,nights in white satin - single version / mono mix,0,6L5BZEcZmD6RBJnimzlyKr
299,steppenwolf,magic carpet ride,0,4c4jJJoaiY21t2TyRZgdWS
300,the searchers,needles and pins - mono,0,0zABw1PtGYHsU4VDpDZsra
301,the band,the weight - remastered,0,0P7DoyGrr4Wp9w5TotEtUC
302,sam cooke,bring it on home to me,0,0WVTQp3SOCuMr08jh1jweV
303,creedence clearwater revival,bad moon rising,0,20OFwXhEXf12DzwXmaV7fj
304,roy orbison,crying,0,6eLL7QTdMWdhhG4i3jHDR9
305,the beatles,revolution - remastered,0,3UDmHZcBTQp8Iu8droNtUl
306,the miracles,shop around,0,47IRIQxGDe2Sc6F4pe2FMf
307,the bobby fuller four,i fought the law,0,6Um3XCAxl9YfFmAnGl93xc
308,bob dylan,the times they are a-changin',0,52vA3CYKZqZVdQnzRrdZt6
309,the rolling stones,honky tonk women,0,3RZMzCvYsmJ0u2ioKTOsmJ
311,the beatles,she loves you - mono / remastered,0,6nEkxYIEnrbYH7h1hJ8Xn6
312,led zeppelin,heartbreaker,0,6WE7jSshLCuVKoCmobVKVf
313,van morrison,brown eyed girl,0,3yrSvpt2l1xhsV9Em88Pul
314,the rolling stones,gimme shelter,0,6H3kDe7CGoWYBabAeVWGiD
315,the doors,touch me,0,4BVE5tIIpYabZcYCbephNW
316,jan & dean,surf city - remastered 1990 / stereo remix,0,4ZzXPeOfMXk0iKNQGdlzDq
317,jefferson airplane,white rabbit,0,4vpeKl0vMGdAXpZiQB2Dtd
318,creedence clearwater revival,green river,0,20OFwXhEXf12DzwXmaV7fj
319,the beach boys,i get around (mono) - mono,0,3v9xlH6BpmRbqL7hgNJhfT
320,the byrds,mr. tambourine man,0,2HCaIYjkvWSZzaSKUoOh3d
321,the beatles,with a little help from my friends - remastered 2009,0,2RnPATK99oGOZygnD2GTO6
323,the yardbirds,for your love,0,5bC4y9Zhn6ng0MOzACCHkc
324,the rolling stones,street fighting man,0,7EXgO1bRnEArE58rtrgMWB
325,bob dylan,blowin' in the wind,0,18GiV1BaXzPVYpp9rmOg0E
326,the beach boys,in my room - remastered,0,62fX8EW16l8St2yL8rMer9
327,the spencer davis group,i'm a man,0,1oXq63OUf43LDnNPVtfvX8
328,them,gloria - stereo version,0,1DKyFVzIh1oa1fFnEmTkIl
329,small faces,itchycoo park,0,5H0laZ62yDUPuKvHef8niK
330,the troggs,wild thing,0,7jGzYUZ2Bgg8BDfYlQRfn8
331,the zombies,care of cell 44,0,5QXqz1KDz8Z8DmfQoxWmmy
332,pink floyd,see emily play - 2016 remastered version,0,5JubSv0sa8CKjAslCSH27S
